"Country or Territory Name","City Code","City Name","SDG Sub-Region","SDG Region","Average share of green area in city/urban area 1990 (%)","Average share of green area in city/ urban area 2000 (%)","Average share of green area in city/ urban area 2010 (%)","Average share of green area in city/ urban area 2020 (%)","Green area per capita 1990 (m2/person)","Green area per capita 2000 (m2/person)","Green area per capita 2010 (m2/person)","Green area per capita 2020 (m2/person)","Data Source","FootNote"
"Denmark","DK_HJORRING","Hjørring","Northern Europe","Northern America and Europe","  37.66 ","  27.97 ","  26.24 ","  19.76 ","  271.84 ","  201.64 ","  191.82 ","  148.77 ","UN-Habitat Urban Indicators Database, 2201","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Denmark","DK_SLAGELSE","Slagelse","Northern Europe","Northern America and Europe","  12.88 ","  11.22 ","  9.41 ","  8.52 ","  68.44 ","  58.42 ","  49.97 ","  45.89 ","UN-Habitat Urban Indicators Database, 2419","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Djibouti","DJ_DJIBOUTI","Djibouti","Eastern Africa","Sub-Saharan Africa","  1.91 ","  1.25 ","  0.60 ","  1.21 ","  3.20 ","  1.63 ","  0.67 ","  1.03 ","UN-Habitat Urban Indicators Database, 2654","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Dominican Republic","DO_SANTO_DOMINGO_DE_GUZMAN","Santo Domingo","Caribbean","Latin America and the Caribbean","  67.09 ","  47.06 ","  36.27 ","  24.11 ","  128.70 ","  69.65 ","  43.71 ","  24.40 ","UN-Habitat Urban Indicators Database, 2146","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Egypt","EG_AZ_ZAQAZIQ","Az-Zaqazig","Northern Africa","Western Asia and Northern Africa","  55.89 ","  52.12 ","  44.29 ","  34.59 ","  51.77 ","  39.11 ","  27.78 ","  17.47 ","UN-Habitat Urban Indicators Database, 2066","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Egypt","EG_DUMYAT","Dumyāṭ (Damietta)","Northern Africa","Western Asia and Northern Africa","  56.42 ","  51.18 ","  41.80 ","  31.41 ","  90.83 ","  63.61 ","  39.59 ","  24.65 ","UN-Habitat Urban Indicators Database, 2080","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Egypt","EG_FAQUS","Fāqūs (Faqous)","Northern Africa","Western Asia and Northern Africa","  45.24 ","  41.85 ","  33.35 ","  24.51 ","  44.06 ","  30.83 ","  19.68 ","  13.58 ","UN-Habitat Urban Indicators Database, 2142","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Egypt","EG_DAMANHUR","Damanhūr (Damanhour)","Northern Africa","Western Asia and Northern Africa","  50.54 ","  43.12 ","  34.63 ","  23.52 ","  43.84 ","  28.91 ","  18.69 ","  10.77 ","UN-Habitat Urban Indicators Database, 2151","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Egypt","EG_MADINAT_SITTAH_UKTUBAR","Madīnat Sittah Uktūbar (6th October City)","Northern Africa","Western Asia and Northern Africa","  0.06 ","  1.60 ","  13.86 ","  22.87 ","  0.86 ","  15.84 ","  97.73 ","  140.56 ","UN-Habitat Urban Indicators Database, 2159","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Egypt","EG_DISUQ","Disūq (Desouk)","Northern Africa","Western Asia and Northern Africa","  39.17 ","  29.15 ","  24.65 ","  17.99 ","  21.05 ","  12.23 ","  8.56 ","  5.41 ","UN-Habitat Urban Indicators Database, 2234","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Egypt","EG_AL_MANSURAH","Al-Mansurah","Northern Africa","Western Asia and Northern Africa","  35.90 ","  29.51 ","  22.28 ","  15.48 ","  27.08 ","  18.48 ","  11.67 ","  6.60 ","UN-Habitat Urban Indicators Database, 2277","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Egypt","EG_ASYUT","Asyut","Northern Africa","Western Asia and Northern Africa","  27.68 ","  28.15 ","  23.05 ","  15.41 ","  17.74 ","  14.82 ","  10.18 ","  5.65 ","UN-Habitat Urban Indicators Database, 2278","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Egypt","EG_TANTA","Tanta","Northern Africa","Western Asia and Northern Africa","  28.13 ","  23.28 ","  17.84 ","  11.83 ","  16.35 ","  11.85 ","  7.77 ","  4.29 ","UN-Habitat Urban Indicators Database, 2346","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Egypt","EG_AL_QAHIRAH","Al-Qahirah (Cairo)","Northern Africa","Western Asia and Northern Africa","  19.36 ","  18.28 ","  15.63 ","  11.44 ","  31.32 ","  22.74 ","  16.08 ","  9.58 ","UN-Habitat Urban Indicators Database, 2355","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Egypt","EG_ALEXANDRIA","Al-Iskandariyah (Alexandria)","Northern Africa","Western Asia and Northern Africa","  16.57 ","  13.15 ","  7.57 ","  6.56 ","  9.90 ","  6.93 ","  3.34 ","  2.29 ","UN-Habitat Urban Indicators Database, 2462","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Egypt","EG_BUR_SAID","Bur Sa'id","Northern Africa","Western Asia and Northern Africa","  0.75 ","  0.95 ","  0.72 ","  1.53 ","  0.56 ","  0.60 ","  0.38 ","  0.63 ","UN-Habitat Urban Indicators Database, 2645","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"El Salvador","SV_USULUTAN","Usulután","Central America","Latin America and the Caribbean","  15.47 ","  17.09 ","  23.69 ","  26.36 ","  45.99 ","  44.69 ","  61.48 ","  69.65 ","UN-Habitat Urban Indicators Database, 2121","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Eritrea","ER_ASMERA","Asmara","Eastern Africa","Sub-Saharan Africa","  1.07 ","  4.01 ","  6.09 ","  5.79 ","  1.82 ","  6.11 ","  7.49 ","  10.23 ","UN-Habitat Urban Indicators Database, 2477","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Eswatini","SZ_MBABANE","Mbabane","Southern Africa","Sub-Saharan Africa","  20.05 ","  23.69 ","  19.70 ","  19.46 ","  138.83 ","  120.09 ","  90.80 ","  99.29 ","UN-Habitat Urban Indicators Database, 2204","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Ethiopia","ET_DIRE_DAWA","Dire Dawa","Eastern Africa","Sub-Saharan Africa","  7.03 ","  6.01 ","  5.11 ","  9.67 ","  10.04 ","  6.15 ","  4.09 ","  6.49 ","UN-Habitat Urban Indicators Database, 2388","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Ethiopia","ET_GONDER","Gondar","Eastern Africa","Sub-Saharan Africa","  5.47 ","  4.91 ","  5.04 ","  4.70 ","  13.30 ","  9.17 ","  6.50 ","  5.40 ","UN-Habitat Urban Indicators Database, 2513","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Finland","FI_TURKU","Turku (Åbo)","Northern Europe","Northern America and Europe","  31.48 ","  32.90 ","  33.54 ","  35.22 ","  185.19 ","  189.38 ","  182.85 ","  185.26 ","UN-Habitat Urban Indicators Database, 2062","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Finland","FI_JYVASKYLA","Jyväskylä","Northern Europe","Northern America and Europe","  39.77 ","  33.06 ","  24.29 ","  21.30 ","  243.59 ","  196.16 ","  137.39 ","  116.85 ","UN-Habitat Urban Indicators Database, 2187","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Finland","FI_TAMPERE","Tampere","Northern Europe","Northern America and Europe","  15.44 ","  16.98 ","  14.69 ","  17.03 ","  65.63 ","  60.57 ","  47.67 ","  53.90 ","UN-Habitat Urban Indicators Database, 2248","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"France","FR_BESANCON","Besançon","Western Europe","Northern America and Europe","  27.26 ","  28.84 ","  30.23 ","  31.26 ","  128.09 ","  125.01 ","  130.54 ","  136.89 ","UN-Habitat Urban Indicators Database, 2082","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"France","FR_NANTES","Nantes","Western Europe","Northern America and Europe","  20.68 ","  19.98 ","  26.20 ","  28.08 ","  91.66 ","  82.81 ","  103.59 ","  104.14 ","UN-Habitat Urban Indicators Database, 2109","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"France","FR_LE_MANS","Le Mans","Western Europe","Northern America and Europe","  16.95 ","  27.55 ","  25.48 ","  27.55 ","  77.14 ","  126.07 ","  120.00 ","  133.13 ","UN-Habitat Urban Indicators Database, 2112","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"France","FR_TOURS","Tours","Western Europe","Northern America and Europe","  8.93 ","  15.88 ","  17.01 ","  23.93 ","  45.73 ","  77.72 ","  81.26 ","  114.14 ","UN-Habitat Urban Indicators Database, 2147","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"France","FR_ANGERS","Angers","Western Europe","Northern America and Europe","  9.80 ","  15.58 ","  16.87 ","  21.63 ","  40.34 ","  60.45 ","  66.84 ","  89.31 ","UN-Habitat Urban Indicators Database, 2178","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"France","FR_MARSEILLE","Marseille","Western Europe","Northern America and Europe","  11.01 ","  14.88 ","  18.19 ","  18.25 ","  24.08 ","  31.44 ","  36.45 ","  36.64 ","UN-Habitat Urban Indicators Database, 2222","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"France","FR_METZ","Metz","Western Europe","Northern America and Europe","  8.27 ","  11.71 ","  11.91 ","  12.85 ","  27.70 ","  38.81 ","  40.71 ","  47.33 ","UN-Habitat Urban Indicators Database, 2325","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"France","FR_TOULON","Toulon","Western Europe","Northern America and Europe","  14.05 ","  12.96 ","  11.50 ","  10.36 ","  76.27 ","  66.40 ","  56.99 ","  52.74 ","UN-Habitat Urban Indicators Database, 2375","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"France","FR_STRASBOURG","Strasbourg","Western Europe","Northern America and Europe","  5.99 ","  6.29 ","  5.91 ","  9.93 ","  17.43 ","  16.87 ","  15.40 ","  25.42 ","UN-Habitat Urban Indicators Database, 2382","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"France","FR_REIMS","Reims","Western Europe","Northern America and Europe","  4.47 ","  4.42 ","  7.23 ","  9.31 ","  14.18 ","  13.60 ","  22.78 ","  29.50 ","UN-Habitat Urban Indicators Database, 2398","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
